//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 11-7-2025
//--  Time: 18:47
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: AFR Table 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:linearGenerator
//-- Table Identifier:002//-- generated by Custom linear generator using user input data:
//-- Volts:0, 5     AFR:8.7, 18.7
//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
0	8.70	87 	0.000
1	8.71	87 	0.005
2	8.72	87 	0.010
3	8.73	87 	0.015
4	8.74	87 	0.020
5	8.75	87 	0.024
6	8.76	88 	0.029
7	8.77	88 	0.034
8	8.78	88 	0.039
9	8.79	88 	0.044
10	8.80	88 	0.049
11	8.81	88 	0.054
12	8.82	88 	0.059
13	8.83	88 	0.063
14	8.84	88 	0.068
15	8.85	88 	0.073
16	8.86	89 	0.078
17	8.87	89 	0.083
18	8.88	89 	0.088
19	8.89	89 	0.093
20	8.90	89 	0.098
21	8.91	89 	0.103
22	8.91	89 	0.107
23	8.92	89 	0.112
24	8.93	89 	0.117
25	8.94	89 	0.122
26	8.95	90 	0.127
27	8.96	90 	0.132
28	8.97	90 	0.137
29	8.98	90 	0.142
30	8.99	90 	0.146
31	9.00	90 	0.151
32	9.01	90 	0.156
33	9.02	90 	0.161
34	9.03	90 	0.166
35	9.04	90 	0.171
36	9.05	91 	0.176
37	9.06	91 	0.181
38	9.07	91 	0.186
39	9.08	91 	0.190
40	9.09	91 	0.195
41	9.10	91 	0.200
42	9.11	91 	0.205
43	9.12	91 	0.210
44	9.13	91 	0.215
45	9.14	91 	0.220
46	9.15	91 	0.225
47	9.16	92 	0.229
48	9.17	92 	0.234
49	9.18	92 	0.239
50	9.19	92 	0.244
51	9.20	92 	0.249
52	9.21	92 	0.254
53	9.22	92 	0.259
54	9.23	92 	0.264
55	9.24	92 	0.269
56	9.25	92 	0.273
57	9.26	93 	0.278
58	9.27	93 	0.283
59	9.28	93 	0.288
60	9.29	93 	0.293
61	9.30	93 	0.298
62	9.31	93 	0.303
63	9.32	93 	0.308
64	9.32	93 	0.313
65	9.33	93 	0.317
66	9.34	93 	0.322
67	9.35	94 	0.327
68	9.36	94 	0.332
69	9.37	94 	0.337
